"wind_kph","Continent","month_name"
4,"Asia","September"
10.4,"Africa","September"
3.6,"Europe","September"
6.8,"Asia","September"
6.1,"Africa","September"
6.8,"America","September"
3.6,"Europe","September"
4,"Europe","September"
20.2,"Asia","September"
6.8,"Asia","September"
19.1,"Africa","September"
9,"Asia","September"
10.8,"Asia","September"
5,"Europe","September"
28.1,"Pacific","September"
11.2,"America","September"
9,"Africa","September"
3.6,"Europe","September"
3.6,"Asia","September"
3.6,"Africa","September"
10.1,"Europe","September"
11.2,"Asia","September"
11.2,"Europe","September"
9,"America","September"
11.2,"America","September"
11.2,"Asia","September"
15.8,"Pacific","September"
19.1,"America","September"
6.1,"Asia","September"
13.7,"Asia","September"
8.6,"Africa","September"
6.8,"Africa","September"
3.6,"Asia","September"
3.6,"Europe","September"
16.9,"Africa","September"
7.2,"Europe","September"
11.2,"Africa","September"
6.8,"America","September"
19.1,"America","September"
24.1,"Asia","September"
9,"Australia","September"
6.1,"Europe","September"
6.8,"Asia","September"
22,"America","September"
9,"Asia","September"
6.8,"Asia","September"
15.1,"America","September"
6.8,"Europe","September"
3.6,"Europe","September"
15.1,"America","September"
9,"Africa","September"
6.5,"Asia","September"
15.5,"America","September"
3.6,"Europe","September"
10.1,"Africa","September"
5.8,"America","September"
6.1,"Asia","September"
3.6,"Europe","September"
6.8,"Africa","September"
4.7,"Africa","September"
8.6,"Indian","September"
19.1,"Atlantic","September"
4,"Asia","September"
6.1,"Africa","September"
16.9,"America","September"
6.1,"Africa","September"
3.6,"Africa","September"
6.8,"America","September"
6.8,"Asia","September"
5.4,"Europe","September"
7.6,"Indian","September"
6.8,"Africa","September"
22,"America","September"
6.1,"Europe","September"
16.9,"America","September"
9,"Asia","September"
3.6,"Europe","September"
6.8,"Africa","September"
15.1,"Europe","September"
3.6,"Africa","September"
6.8,"America","September"
6.8,"America","September"
10.4,"America","September"
9,"Africa","September"
9,"America","September"
11.9,"Africa","September"
3.6,"Africa","September"
15.1,"Europe","September"
3.6,"Africa","September"
5.4,"Africa","September"
9,"Pacific","September"
9,"Europe","September"
9,"Europe","September"
15.1,"Africa","September"
3.6,"Africa","September"
3.6,"Asia","September"
4,"Europe","September"
15.1,"Africa","September"
16.9,"Europe","September"
22,"America","September"
6.8,"America","September"
3.6,"Africa","September"
3.6,"Africa","September"
11.2,"America","September"
6.8,"America","September"
6.8,"Europe","September"
11.2,"America","September"
4,"Europe","September"
46.1,"Atlantic","September"
6.8,"Asia","September"
13,"Asia","September"
11.2,"Asia","September"
6.8,"Asia","September"
9,"Europe","September"
9,"Asia","September"
6.8,"Europe","September"
20.2,"America","September"
9,"Asia","September"
9,"Asia","September"
19.1,"Asia","September"
3.6,"Africa","September"
18.4,"Pacific","September"
13,"Asia","September"
5.4,"Asia","September"
3.6,"Asia","September"
6.8,"Europe","September"
9,"Asia","September"
6.5,"Africa","September"
3.6,"Africa","September"
4,"Asia","September"
3.6,"Europe","September"
6.8,"Europe","September"
16.9,"Europe","September"
16.9,"Indian","September"
4.7,"Africa","September"
3.6,"Asia","September"
31,"Indian","September"
6.8,"Africa","September"
6.8,"Europe","September"
6.5,"Pacific","September"
26.6,"Africa","September"
25.9,"Indian","September"
19.1,"America","September"
6.8,"Pacific","September"
5.4,"Asia","September"
15.1,"Europe","September"
3.6,"Asia","September"
3.6,"Europe","September"
6.1,"Africa","September"
6.1,"Africa","September"
6.1,"Asia","September"
6.8,"Africa","September"
16.9,"Europe","September"
6.8,"Asia","September"
6.8,"Europe","September"
11.2,"Pacific","September"
15.1,"America","September"
4,"Africa","September"
9,"Africa","September"
6.1,"Asia","September"
4,"Europe","September"
59,"Europe","September"
6.1,"Asia","September"
9,"Asia","September"
15.1,"Pacific","September"
4,"America","September"
6.8,"America","September"
18.7,"Pacific","September"
16.6,"America","September"
16.2,"America","September"
