country,last_updated,uv_index,Continent,month_name,year_name
United Arab Emirates,29/08/2023 13:45,9,Asia,August,2023
United Kingdom,29/08/2023 10:45,5,Europe,August,2023
United States of America,29/08/2023 02:45,1,America,August,2023
Uruguay,29/08/2023 06:30,1,America,August,2023
Uzbekistan,29/08/2023 14:30,8,Asia,August,2023
Vanuatu,29/08/2023 20:45,1,Pacific,August,2023
Venezuela,29/08/2023 05:45,1,America,August,2023
Vietnam,29/08/2023 16:45,8,Asia,August,2023
Yemen,29/08/2023 12:45,6,Asia,August,2023
Zambia,29/08/2023 11:45,5,Africa,August,2023
Zimbabwe,29/08/2023 11:45,5,Africa,August,2023
Afghanistan,30/08/2023 07:30,6,Asia,August,2023
Albania,30/08/2023 05:00,1,Europe,August,2023
Algeria,30/08/2023 04:00,1,Africa,August,2023
Andorra,30/08/2023 04:45,1,Europe,August,2023
Angola,30/08/2023 03:45,1,Africa,August,2023
Antigua and Barbuda,29/08/2023 22:45,1,America,August,2023
Argentina,29/08/2023 23:45,1,America,August,2023
Armenia,30/08/2023 07:00,5,Asia,August,2023
Australia,30/08/2023 13:00,5,Australia,August,2023
Austria,30/08/2023 04:45,1,Europe,August,2023
Azerbaijan,30/08/2023 06:45,1,Asia,August,2023
Bahamas,29/08/2023 22:45,1,America,August,2023
Bahrain,30/08/2023 05:45,1,Asia,August,2023
Bangladesh,30/08/2023 08:45,8,Asia,August,2023
Barbados,29/08/2023 23:00,1,America,August,2023
Belarus,30/08/2023 05:45,1,Europe,August,2023
Belgium,30/08/2023 05:00,1,Europe,August,2023
Belize,29/08/2023 21:00,1,America,August,2023
Benin,30/08/2023 04:00,1,Africa,August,2023
Bhutan,30/08/2023 09:00,5,Asia,August,2023
Bolivia,29/08/2023 23:00,1,America,August,2023
Bosnia and Herzegovina,30/08/2023 04:45,1,Europe,August,2023
Botswana,30/08/2023 05:00,1,Africa,August,2023
Brazil,29/08/2023 23:00,1,America,August,2023
Brunei Darussalam,30/08/2023 11:00,8,Asia,August,2023
Bulgaria,30/08/2023 05:45,1,Europe,August,2023
Burkina Faso,30/08/2023 03:00,1,Africa,August,2023
Burundi,30/08/2023 05:00,1,Africa,August,2023
Madagascar,30/08/2023 06:00,1,Indian,August,2023
Cape Verde,30/08/2023 02:00,1,Atlantic,August,2023
Cambodia,30/08/2023 10:00,8,Asia,August,2023
Cameroon,30/08/2023 04:00,1,Africa,August,2023
Canada,29/08/2023 22:45,1,America,August,2023
Central African Republic,30/08/2023 04:00,1,Africa,August,2023
Chad,30/08/2023 04:00,1,Africa,August,2023
Chile,29/08/2023 22:45,1,America,August,2023
China,30/08/2023 11:00,7,Asia,August,2023
Bulgaria,30/08/2023 06:00,1,Europe,August,2023
Comoros,30/08/2023 06:00,1,Indian,August,2023
Congo,30/08/2023 04:00,1,Africa,August,2023
Costa Rica,29/08/2023 21:00,1,America,August,2023
Croatia,30/08/2023 04:45,1,Europe,August,2023
Cuba,29/08/2023 23:00,1,America,August,2023
Cyprus,30/08/2023 06:00,1,Asia,August,2023
Czech Republic,30/08/2023 04:45,1,Europe,August,2023
Democratic Republic of Congo,30/08/2023 04:00,1,Africa,August,2023
Denmark,30/08/2023 04:45,1,Europe,August,2023
Djibouti,30/08/2023 06:00,7,Africa,August,2023
Dominica,29/08/2023 23:00,1,America,August,2023
Dominican Republic,29/08/2023 23:00,1,America,August,2023
Ecuador,29/08/2023 22:00,1,America,August,2023
Egypt,30/08/2023 05:45,1,Africa,August,2023
El Salvador,29/08/2023 20:45,1,America,August,2023
Equatorial Guinea,30/08/2023 04:00,1,Africa,August,2023
Eritrea,30/08/2023 05:45,1,Africa,August,2023
Estonia,30/08/2023 05:45,1,Europe,August,2023
Swaziland,30/08/2023 05:00,1,Africa,August,2023
Ethiopia,30/08/2023 06:00,1,Africa,August,2023
Fiji Islands,30/08/2023 14:45,6,Pacific,August,2023
Finland,30/08/2023 06:00,1,Europe,August,2023
France,30/08/2023 04:45,1,Europe,August,2023
Gabon,30/08/2023 04:00,1,Africa,August,2023
Gambia,30/08/2023 03:00,1,Africa,August,2023
Georgia,30/08/2023 06:45,1,Asia,August,2023
Germany,30/08/2023 04:45,1,Europe,August,2023
Ghana,30/08/2023 03:00,1,Africa,August,2023
Greece,30/08/2023 06:00,1,Europe,August,2023
Grenada,29/08/2023 23:00,1,America,August,2023
Guatemala,29/08/2023 20:45,1,America,August,2023
Guinea,30/08/2023 03:00,1,Africa,August,2023
Guinea-Bissau,30/08/2023 03:00,1,Africa,August,2023
Guyana,29/08/2023 23:00,1,America,August,2023
Haiti,29/08/2023 23:00,1,America,August,2023
Vatican City,30/08/2023 05:00,1,Europe,August,2023
Honduras,29/08/2023 21:00,1,America,August,2023
Hungary,30/08/2023 05:00,1,Europe,August,2023
Iceland,30/08/2023 03:00,1,Atlantic,August,2023
India,30/08/2023 08:30,8,Asia,August,2023
Indonesia,30/08/2023 09:45,7,Asia,August,2023
Iran,30/08/2023 06:30,1,Asia,August,2023
Iraq,30/08/2023 05:45,1,Asia,August,2023
Ireland,30/08/2023 03:45,1,Europe,August,2023
Israel,30/08/2023 05:45,1,Asia,August,2023
Italy,30/08/2023 05:00,1,Europe,August,2023
Jamaica,29/08/2023 22:00,1,America,August,2023
Japan,30/08/2023 12:00,8,Asia,August,2023
Jordan,30/08/2023 06:00,1,Asia,August,2023
Kazakhstan,30/08/2023 09:00,3,Asia,August,2023
Kenya,30/08/2023 05:45,1,Africa,August,2023
Kiribati,30/08/2023 15:00,6,Pacific,August,2023
Kuwait,30/08/2023 06:00,8,Asia,August,2023
Kyrghyzstan,30/08/2023 09:00,6,Asia,August,2023
Indonesia,30/08/2023 10:00,7,Asia,August,2023
Latvia,30/08/2023 06:00,1,Europe,August,2023
Lebanon,30/08/2023 05:45,1,Asia,August,2023
Lesotho,30/08/2023 05:00,1,Africa,August,2023
Liberia,30/08/2023 03:00,1,Africa,August,2023
Thailand,30/08/2023 10:00,5,Asia,August,2023
Liechtenstein,30/08/2023 05:00,1,Europe,August,2023
Lithuania,30/08/2023 05:45,1,Europe,August,2023
Luxembourg,30/08/2023 05:00,1,Europe,August,2023
Madagascar,30/08/2023 06:00,1,Indian,August,2023
Malawi,30/08/2023 05:00,1,Africa,August,2023
Malaysia,30/08/2023 11:00,7,Asia,August,2023
Maldives,30/08/2023 08:00,7,Indian,August,2023
Mali,30/08/2023 03:00,1,Africa,August,2023
Malta,30/08/2023 04:45,1,Europe,August,2023
Marshall Islands,30/08/2023 15:00,6,Pacific,August,2023
Mauritania,30/08/2023 03:00,1,Africa,August,2023
Mauritius,30/08/2023 07:00,6,Indian,August,2023
Mexico,29/08/2023 21:00,1,America,August,2023
Micronesia,30/08/2023 14:00,6,Pacific,August,2023
Russia,30/08/2023 10:00,6,Asia,August,2023
Monaco,30/08/2023 05:00,1,Europe,August,2023
Mongolia,30/08/2023 11:00,5,Asia,August,2023
Montenegro,30/08/2023 05:00,1,Europe,August,2023
Morocco,30/08/2023 04:00,1,Africa,August,2023
Mozambique,30/08/2023 05:00,1,Africa,August,2023
Myanmar,30/08/2023 09:30,6,Asia,August,2023
Namibia,30/08/2023 05:00,1,Africa,August,2023
Turkey,30/08/2023 06:00,1,Europe,August,2023
Nepal,30/08/2023 08:30,5,Asia,August,2023
Netherlands,30/08/2023 05:00,1,Europe,August,2023
New Zealand,30/08/2023 15:00,3,Pacific,August,2023
Nicaragua,29/08/2023 20:45,1,America,August,2023
Niger,30/08/2023 04:00,1,Africa,August,2023
Nigeria,30/08/2023 04:00,1,Africa,August,2023
North Korea,30/08/2023 12:00,5,Asia,August,2023
Macedonia,30/08/2023 04:45,1,Europe,August,2023
Norway,30/08/2023 04:45,1,Europe,August,2023
Oman,30/08/2023 07:00,7,Asia,August,2023
Pakistan,30/08/2023 07:45,7,Asia,August,2023
Palau,30/08/2023 12:00,1,Pacific,August,2023
Bolivia,29/08/2023 23:00,1,America,August,2023
Panama,29/08/2023 22:00,1,America,August,2023
Papua New Guinea,30/08/2023 13:00,7,Pacific,August,2023
Paraguay,29/08/2023 23:00,1,America,August,2023
Peru,29/08/2023 22:00,1,America,August,2023
Philippines,30/08/2023 11:00,6,Asia,August,2023
Poland,30/08/2023 05:00,1,Europe,August,2023
Portugal,30/08/2023 04:00,1,Europe,August,2023
Qatar,30/08/2023 06:00,8,Asia,August,2023
Romania,30/08/2023 06:00,1,Europe,August,2023
Russia,30/08/2023 05:45,1,Europe,August,2023
Rwanda,30/08/2023 05:00,1,Africa,August,2023
Saint Kitts and Nevis,29/08/2023 23:00,1,America,August,2023
Saint Lucia,29/08/2023 23:00,1,America,August,2023
Saint Vincent and the Grenadines,29/08/2023 23:00,1,America,August,2023
